Hostname,OS,Username,Domain,BiosVersion,Serial,Processor,Software.DisplayName,Software.DisplayVersion,Software.Publisher,Software.InstallDate
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncebootstrappermsi,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncebootstrappermsires,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_clickoncesigntoolmsi,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_communitymsi,16.8.30608,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_communitymsires,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_devenvmsi,16.0.28329,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_filehandler_amd64,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_filehandler_x86,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_FileTracker_Singleton,16.8.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellinteropmsi,16.2.28917,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellmsi,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_minshellmsires,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_SQLClickOnceBootstrappermsi,16.8.30615,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,vs_tipsmsi,16.0.28329,Microsoft Corporation,20210122
